"aid","Latitude","Longitude","Habitat_WWF","sp","int_pres"
1,-0.01624,-51.10926,"Cerrado","sppA",0
1,-0.01624,-51.10926,"Cerrado","sppB",0
1,-0.01624,-51.10926,"Cerrado","sppC",0
1,-0.01624,-51.10926,"Cerrado","sppD",0
1,-0.01624,-51.10926,"Cerrado","sppE",1
1,-0.01624,-51.10926,"Cerrado","sppF",0
1,-0.01624,-51.10926,"Cerrado","sppG",1
1,-0.01624,-51.10926,"Cerrado","sppH",1
1,-0.01624,-51.10926,"Cerrado","sppI",3
1,-0.01624,-51.10926,"Cerrado","sppJ",1
1,-0.01624,-51.10926,"Cerrado","sppK",0
2,-0.02579,-51.11997,"Cerrado","sppA",0
2,-0.02579,-51.11997,"Cerrado","sppB",0
2,-0.02579,-51.11997,"Cerrado","sppC",0
2,-0.02579,-51.11997,"Cerrado","sppD",0
2,-0.02579,-51.11997,"Cerrado","sppE",1
2,-0.02579,-51.11997,"Cerrado","sppF",0
2,-0.02579,-51.11997,"Cerrado","sppG",1
2,-0.02579,-51.11997,"Cerrado","sppH",1
2,-0.02579,-51.11997,"Cerrado","sppI",3
2,-0.02579,-51.11997,"Cerrado","sppJ",1
2,-0.02579,-51.11997,"Cerrado","sppK",0
3,-0.02798,-51.1261,"Cerrado","sppA",0
3,-0.02798,-51.1261,"Cerrado","sppB",0
3,-0.02798,-51.1261,"Cerrado","sppC",0
3,-0.02798,-51.1261,"Cerrado","sppD",0
3,-0.02798,-51.1261,"Cerrado","sppE",1
3,-0.02798,-51.1261,"Cerrado","sppF",0
3,-0.02798,-51.1261,"Cerrado","sppG",1
3,-0.02798,-51.1261,"Cerrado","sppH",0
3,-0.02798,-51.1261,"Cerrado","sppI",4
3,-0.02798,-51.1261,"Cerrado","sppJ",1
3,-0.02798,-51.1261,"Cerrado","sppK",0
4,-0.03933,-51.10939,"Cerrado","sppA",0
4,-0.03933,-51.10939,"Cerrado","sppB",0
4,-0.03933,-51.10939,"Cerrado","sppC",0
4,-0.03933,-51.10939,"Cerrado","sppD",0
4,-0.03933,-51.10939,"Cerrado","sppE",1
4,-0.03933,-51.10939,"Cerrado","sppF",0
4,-0.03933,-51.10939,"Cerrado","sppG",1
4,-0.03933,-51.10939,"Cerrado","sppH",0
4,-0.03933,-51.10939,"Cerrado","sppI",3
4,-0.03933,-51.10939,"Cerrado","sppJ",1
4,-0.03933,-51.10939,"Cerrado","sppK",0
5,-0.03408,-51.13247,"Cerrado","sppA",0
5,-0.03408,-51.13247,"Cerrado","sppB",0
5,-0.03408,-51.13247,"Cerrado","sppC",0
5,-0.03408,-51.13247,"Cerrado","sppD",0
5,-0.03408,-51.13247,"Cerrado","sppE",1
5,-0.03408,-51.13247,"Cerrado","sppF",0
5,-0.03408,-51.13247,"Cerrado","sppG",1
5,-0.03408,-51.13247,"Cerrado","sppH",0
5,-0.03408,-51.13247,"Cerrado","sppI",4
5,-0.03408,-51.13247,"Cerrado","sppJ",0
5,-0.03408,-51.13247,"Cerrado","sppK",0
6,-0.01785,-51.15596,"Cerrado","sppA",0
6,-0.01785,-51.15596,"Cerrado","sppB",0
6,-0.01785,-51.15596,"Cerrado","sppC",0
6,-0.01785,-51.15596,"Cerrado","sppD",0
6,-0.01785,-51.15596,"Cerrado","sppE",1
6,-0.01785,-51.15596,"Cerrado","sppF",0
6,-0.01785,-51.15596,"Cerrado","sppG",1
6,-0.01785,-51.15596,"Cerrado","sppH",1
6,-0.01785,-51.15596,"Cerrado","sppI",4
6,-0.01785,-51.15596,"Cerrado","sppJ",0
6,-0.01785,-51.15596,"Cerrado","sppK",0
7,-0.00828,-51.15422,"Cerrado","sppA",0
7,-0.00828,-51.15422,"Cerrado","sppB",0
7,-0.00828,-51.15422,"Cerrado","sppC",0
7,-0.00828,-51.15422,"Cerrado","sppD",0
7,-0.00828,-51.15422,"Cerrado","sppE",1
7,-0.00828,-51.15422,"Cerrado","sppF",0
7,-0.00828,-51.15422,"Cerrado","sppG",1
7,-0.00828,-51.15422,"Cerrado","sppH",1
7,-0.00828,-51.15422,"Cerrado","sppI",4
7,-0.00828,-51.15422,"Cerrado","sppJ",0
7,-0.00828,-51.15422,"Cerrado","sppK",0
8,-0.00582,-51.13841,"Cerrado","sppA",0
8,-0.00582,-51.13841,"Cerrado","sppB",0
8,-0.00582,-51.13841,"Cerrado","sppC",0
8,-0.00582,-51.13841,"Cerrado","sppD",0
8,-0.00582,-51.13841,"Cerrado","sppE",1
8,-0.00582,-51.13841,"Cerrado","sppF",0
8,-0.00582,-51.13841,"Cerrado","sppG",1
8,-0.00582,-51.13841,"Cerrado","sppH",1
8,-0.00582,-51.13841,"Cerrado","sppI",4
8,-0.00582,-51.13841,"Cerrado","sppJ",0
8,-0.00582,-51.13841,"Cerrado","sppK",0
9,-0.01545,-51.21377,"Cerrado","sppA",0
9,-0.01545,-51.21377,"Cerrado","sppB",0
9,-0.01545,-51.21377,"Cerrado","sppC",0
9,-0.01545,-51.21377,"Cerrado","sppD",0
9,-0.01545,-51.21377,"Cerrado","sppE",2
9,-0.01545,-51.21377,"Cerrado","sppF",1
9,-0.01545,-51.21377,"Cerrado","sppG",1
9,-0.01545,-51.21377,"Cerrado","sppH",3
9,-0.01545,-51.21377,"Cerrado","sppI",2
9,-0.01545,-51.21377,"Cerrado","sppJ",0
9,-0.01545,-51.21377,"Cerrado","sppK",1
10,-0.05424,-51.23889,"Cerrado","sppA",0
10,-0.05424,-51.23889,"Cerrado","sppB",0
10,-0.05424,-51.23889,"Cerrado","sppC",1
10,-0.05424,-51.23889,"Cerrado","sppD",0
10,-0.05424,-51.23889,"Cerrado","sppE",5
10,-0.05424,-51.23889,"Cerrado","sppF",0
10,-0.05424,-51.23889,"Cerrado","sppG",3
10,-0.05424,-51.23889,"Cerrado","sppH",1
10,-0.05424,-51.23889,"Cerrado","sppI",2
10,-0.05424,-51.23889,"Cerrado","sppJ",1
10,-0.05424,-51.23889,"Cerrado","sppK",1
11,-0.07997,-51.26369,"Cerrado","sppA",0
11,-0.07997,-51.26369,"Cerrado","sppB",0
11,-0.07997,-51.26369,"Cerrado","sppC",0
11,-0.07997,-51.26369,"Cerrado","sppD",0
11,-0.07997,-51.26369,"Cerrado","sppE",4
11,-0.07997,-51.26369,"Cerrado","sppF",0
11,-0.07997,-51.26369,"Cerrado","sppG",2
11,-0.07997,-51.26369,"Cerrado","sppH",2
11,-0.07997,-51.26369,"Cerrado","sppI",1
11,-0.07997,-51.26369,"Cerrado","sppJ",0
11,-0.07997,-51.26369,"Cerrado","sppK",0
12,-0.13087,-51.29402,"Floresta","sppA",1
12,-0.13087,-51.29402,"Floresta","sppB",0
12,-0.13087,-51.29402,"Floresta","sppC",1
12,-0.13087,-51.29402,"Floresta","sppD",0
12,-0.13087,-51.29402,"Floresta","sppE",1
12,-0.13087,-51.29402,"Floresta","sppF",0
12,-0.13087,-51.29402,"Floresta","sppG",0
12,-0.13087,-51.29402,"Floresta","sppH",2
12,-0.13087,-51.29402,"Floresta","sppI",1
12,-0.13087,-51.29402,"Floresta","sppJ",2
12,-0.13087,-51.29402,"Floresta","sppK",0
13,-0.14333,-51.32741,"Floresta","sppA",1
13,-0.14333,-51.32741,"Floresta","sppB",0
13,-0.14333,-51.32741,"Floresta","sppC",2
13,-0.14333,-51.32741,"Floresta","sppD",0
13,-0.14333,-51.32741,"Floresta","sppE",0
13,-0.14333,-51.32741,"Floresta","sppF",0
13,-0.14333,-51.32741,"Floresta","sppG",1
13,-0.14333,-51.32741,"Floresta","sppH",4
13,-0.14333,-51.32741,"Floresta","sppI",1
13,-0.14333,-51.32741,"Floresta","sppJ",2
13,-0.14333,-51.32741,"Floresta","sppK",1
14,-0.16704,-51.35631,"Floresta","sppA",0
