"aid","Latitude","Longitude","Habitat_WWF","class_description","metric","buff_dist_km","buff_metric","value_median","sp_name","sp_ab","sp_pa"
1,-0.01624,-51.10926,"Cerrado","Forest","cpland",1,"cpland_1",47.5130530365485,"sppA",0,0
1,-0.01624,-51.10926,"Cerrado","Forest","cpland",1,"cpland_1",47.5130530365485,"sppB",0,0
1,-0.01624,-51.10926,"Cerrado","Forest","cpland",1,"cpland_1",47.5130530365485,"sppC",0,0
1,-0.01624,-51.10926,"Cerrado","Forest","cpland",1,"cpland_1",47.5130530365485,"sppD",0,0
1,-0.01624,-51.10926,"Cerrado","Forest","cpland",1,"cpland_1",47.5130530365485,"sppE",1,1
1,-0.01624,-51.10926,"Cerrado","Forest","cpland",1,"cpland_1",47.5130530365485,"sppF",0,0
1,-0.01624,-51.10926,"Cerrado","Forest","cpland",1,"cpland_1",47.5130530365485,"sppG",1,1
1,-0.01624,-51.10926,"Cerrado","Forest","cpland",1,"cpland_1",47.5130530365485,"sppH",1,1
1,-0.01624,-51.10926,"Cerrado","Forest","cpland",1,"cpland_1",47.5130530365485,"sppI",3,1
1,-0.01624,-51.10926,"Cerrado","Forest","cpland",1,"cpland_1",47.5130530365485,"sppJ",1,1
1,-0.01624,-51.10926,"Cerrado","Forest","cpland",1,"cpland_1",47.5130530365485,"sppK",0,0
1,-0.01624,-51.10926,"Cerrado","Forest","cpland",10,"cpland_10",14.6442830195431,"sppA",0,0
1,-0.01624,-51.10926,"Cerrado","Forest","cpland",10,"cpland_10",14.6442830195431,"sppB",0,0
1,-0.01624,-51.10926,"Cerrado","Forest","cpland",10,"cpland_10",14.6442830195431,"sppC",0,0
1,-0.01624,-51.10926,"Cerrado","Forest","cpland",10,"cpland_10",14.6442830195431,"sppD",0,0
1,-0.01624,-51.10926,"Cerrado","Forest","cpland",10,"cpland_10",14.6442830195431,"sppE",1,1
1,-0.01624,-51.10926,"Cerrado","Forest","cpland",10,"cpland_10",14.6442830195431,"sppF",0,0
1,-0.01624,-51.10926,"Cerrado","Forest","cpland",10,"cpland_10",14.6442830195431,"sppG",1,1
1,-0.01624,-51.10926,"Cerrado","Forest","cpland",10,"cpland_10",14.6442830195431,"sppH",1,1
1,-0.01624,-51.10926,"Cerrado","Forest","cpland",10,"cpland_10",14.6442830195431,"sppI",3,1
1,-0.01624,-51.10926,"Cerrado","Forest","cpland",10,"cpland_10",14.6442830195431,"sppJ",1,1
1,-0.01624,-51.10926,"Cerrado","Forest","cpland",10,"cpland_10",14.6442830195431,"sppK",0,0
2,-0.02579,-51.11997,"Cerrado","Forest","cpland",1,"cpland_1",34.95599559956,"sppA",0,0
2,-0.02579,-51.11997,"Cerrado","Forest","cpland",1,"cpland_1",34.95599559956,"sppB",0,0
2,-0.02579,-51.11997,"Cerrado","Forest","cpland",1,"cpland_1",34.95599559956,"sppC",0,0
2,-0.02579,-51.11997,"Cerrado","Forest","cpland",1,"cpland_1",34.95599559956,"sppD",0,0
2,-0.02579,-51.11997,"Cerrado","Forest","cpland",1,"cpland_1",34.95599559956,"sppE",1,1
2,-0.02579,-51.11997,"Cerrado","Forest","cpland",1,"cpland_1",34.95599559956,"sppF",0,0
2,-0.02579,-51.11997,"Cerrado","Forest","cpland",1,"cpland_1",34.95599559956,"sppG",1,1
2,-0.02579,-51.11997,"Cerrado","Forest","cpland",1,"cpland_1",34.95599559956,"sppH",1,1
2,-0.02579,-51.11997,"Cerrado","Forest","cpland",1,"cpland_1",34.95599559956,"sppI",3,1
2,-0.02579,-51.11997,"Cerrado","Forest","cpland",1,"cpland_1",34.95599559956,"sppJ",1,1
2,-0.02579,-51.11997,"Cerrado","Forest","cpland",1,"cpland_1",34.95599559956,"sppK",0,0
2,-0.02579,-51.11997,"Cerrado","Forest","cpland",10,"cpland_10",17.3561257229931,"sppA",0,0
2,-0.02579,-51.11997,"Cerrado","Forest","cpland",10,"cpland_10",17.3561257229931,"sppB",0,0
2,-0.02579,-51.11997,"Cerrado","Forest","cpland",10,"cpland_10",17.3561257229931,"sppC",0,0
2,-0.02579,-51.11997,"Cerrado","Forest","cpland",10,"cpland_10",17.3561257229931,"sppD",0,0
2,-0.02579,-51.11997,"Cerrado","Forest","cpland",10,"cpland_10",17.3561257229931,"sppE",1,1
2,-0.02579,-51.11997,"Cerrado","Forest","cpland",10,"cpland_10",17.3561257229931,"sppF",0,0
2,-0.02579,-51.11997,"Cerrado","Forest","cpland",10,"cpland_10",17.3561257229931,"sppG",1,1
2,-0.02579,-51.11997,"Cerrado","Forest","cpland",10,"cpland_10",17.3561257229931,"sppH",1,1
2,-0.02579,-51.11997,"Cerrado","Forest","cpland",10,"cpland_10",17.3561257229931,"sppI",3,1
2,-0.02579,-51.11997,"Cerrado","Forest","cpland",10,"cpland_10",17.3561257229931,"sppJ",1,1
2,-0.02579,-51.11997,"Cerrado","Forest","cpland",10,"cpland_10",17.3561257229931,"sppK",0,0
3,-0.02798,-51.1261,"Cerrado","Forest","cpland",1,"cpland_1",40.9028351224883,"sppA",0,0
3,-0.02798,-51.1261,"Cerrado","Forest","cpland",1,"cpland_1",40.9028351224883,"sppB",0,0
3,-0.02798,-51.1261,"Cerrado","Forest","cpland",1,"cpland_1",40.9028351224883,"sppC",0,0
3,-0.02798,-51.1261,"Cerrado","Forest","cpland",1,"cpland_1",40.9028351224883,"sppD",0,0
3,-0.02798,-51.1261,"Cerrado","Forest","cpland",1,"cpland_1",40.9028351224883,"sppE",1,1
3,-0.02798,-51.1261,"Cerrado","Forest","cpland",1,"cpland_1",40.9028351224883,"sppF",0,0
3,-0.02798,-51.1261,"Cerrado","Forest","cpland",1,"cpland_1",40.9028351224883,"sppG",1,1
3,-0.02798,-51.1261,"Cerrado","Forest","cpland",1,"cpland_1",40.9028351224883,"sppH",0,0
3,-0.02798,-51.1261,"Cerrado","Forest","cpland",1,"cpland_1",40.9028351224883,"sppI",4,1
3,-0.02798,-51.1261,"Cerrado","Forest","cpland",1,"cpland_1",40.9028351224883,"sppJ",1,1
3,-0.02798,-51.1261,"Cerrado","Forest","cpland",1,"cpland_1",40.9028351224883,"sppK",0,0
3,-0.02798,-51.1261,"Cerrado","Forest","cpland",10,"cpland_10",19.7072563395869,"sppA",0,0
3,-0.02798,-51.1261,"Cerrado","Forest","cpland",10,"cpland_10",19.7072563395869,"sppB",0,0
3,-0.02798,-51.1261,"Cerrado","Forest","cpland",10,"cpland_10",19.7072563395869,"sppC",0,0
3,-0.02798,-51.1261,"Cerrado","Forest","cpland",10,"cpland_10",19.7072563395869,"sppD",0,0
3,-0.02798,-51.1261,"Cerrado","Forest","cpland",10,"cpland_10",19.7072563395869,"sppE",1,1
3,-0.02798,-51.1261,"Cerrado","Forest","cpland",10,"cpland_10",19.7072563395869,"sppF",0,0
3,-0.02798,-51.1261,"Cerrado","Forest","cpland",10,"cpland_10",19.7072563395869,"sppG",1,1
3,-0.02798,-51.1261,"Cerrado","Forest","cpland",10,"cpland_10",19.7072563395869,"sppH",0,0
3,-0.02798,-51.1261,"Cerrado","Forest","cpland",10,"cpland_10",19.7072563395869,"sppI",4,1
3,-0.02798,-51.1261,"Cerrado","Forest","cpland",10,"cpland_10",19.7072563395869,"sppJ",1,1
3,-0.02798,-51.1261,"Cerrado","Forest","cpland",10,"cpland_10",19.7072563395869,"sppK",0,0
4,-0.03933,-51.10939,"Cerrado","Forest","cpland",1,"cpland_1",13.1630648330059,"sppA",0,0
4,-0.03933,-51.10939,"Cerrado","Forest","cpland",1,"cpland_1",13.1630648330059,"sppB",0,0
4,-0.03933,-51.10939,"Cerrado","Forest","cpland",1,"cpland_1",13.1630648330059,"sppC",0,0
4,-0.03933,-51.10939,"Cerrado","Forest","cpland",1,"cpland_1",13.1630648330059,"sppD",0,0
4,-0.03933,-51.10939,"Cerrado","Forest","cpland",1,"cpland_1",13.1630648330059,"sppE",1,1
4,-0.03933,-51.10939,"Cerrado","Forest","cpland",1,"cpland_1",13.1630648330059,"sppF",0,0
4,-0.03933,-51.10939,"Cerrado","Forest","cpland",1,"cpland_1",13.1630648330059,"sppG",1,1
4,-0.03933,-51.10939,"Cerrado","Forest","cpland",1,"cpland_1",13.1630648330059,"sppH",0,0
4,-0.03933,-51.10939,"Cerrado","Forest","cpland",1,"cpland_1",13.1630648330059,"sppI",3,1
4,-0.03933,-51.10939,"Cerrado","Forest","cpland",1,"cpland_1",13.1630648330059,"sppJ",1,1
4,-0.03933,-51.10939,"Cerrado","Forest","cpland",1,"cpland_1",13.1630648330059,"sppK",0,0
4,-0.03933,-51.10939,"Cerrado","Forest","cpland",10,"cpland_10",16.6902888756513,"sppA",0,0
4,-0.03933,-51.10939,"Cerrado","Forest","cpland",10,"cpland_10",16.6902888756513,"sppB",0,0
4,-0.03933,-51.10939,"Cerrado","Forest","cpland",10,"cpland_10",16.6902888756513,"sppC",0,0
4,-0.03933,-51.10939,"Cerrado","Forest","cpland",10,"cpland_10",16.6902888756513,"sppD",0,0
4,-0.03933,-51.10939,"Cerrado","Forest","cpland",10,"cpland_10",16.6902888756513,"sppE",1,1
4,-0.03933,-51.10939,"Cerrado","Forest","cpland",10,"cpland_10",16.6902888756513,"sppF",0,0
4,-0.03933,-51.10939,"Cerrado","Forest","cpland",10,"cpland_10",16.6902888756513,"sppG",1,1
4,-0.03933,-51.10939,"Cerrado","Forest","cpland",10,"cpland_10",16.6902888756513,"sppH",0,0
4,-0.03933,-51.10939,"Cerrado","Forest","cpland",10,"cpland_10",16.6902888756513,"sppI",3,1
